pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{1, 6, 40}]","[]",3,19,"(201054,201666);(254189,254966);(282370,282928);(293330,293922);(296621,297233);(316784,317429);(399553,400293);(410189,410828);(563006,563761);(618108,618632);(659766,660269);(697859,698575);(708278,708952);(758645,759145);(848432,849357);(861183,861937);(952806,953530);(954166,954899);(988890,989470)"
"[{1, 6, 55}]","[]",3,22,"(27249,27774);(43005,43634);(80455,80971);(234352,234852);(311389,311889);(321405,321932);(367160,367715);(427522,428114);(433428,433928);(445394,446038);(494657,495157);(646878,647378);(660057,660612);(695818,696318);(721200,721700);(740098,740940);(753100,753605);(772056,772558);(772762,773470);(797117,797872);(816133,816656);(848920,849642)"
"[{1, 6, 56}]","[]",3,10,"(333158,333857);(349896,350412);(485172,485723);(526637,527151);(575921,576602);(589171,589769);(647064,647564);(776703,777203);(915260,915760);(945950,946451)"
"[{1, 6, 64}]","[]",3,219,"(616,1404);(2534,3554);(14271,15414);(17607,18449);(22529,23441);(24459,24959);(28604,29392);(30080,30580);(35885,36699);(39486,40249);(47164,47972);(57146,57658);(62733,63568);(64200,65000);(68708,69685);(75879,76798);(78578,79192);(79193,79763);(79764,81188);(90495,91080);(93693,94245);(97173,98027);(100342,101298);(104559,105074);(105858,106703);(107885,108385);(116869,117542);(117802,118795);(122565,123153);(125137,125702);(128117,128891);(133734,134358);(140241,140874);(141487,142060);(144609,145287);(145668,146515);(149243,149812);(157067,157695);(160406,161219);(161581,162096);(169786,170356);(177623,178167);(188951,189474);(197345,198250);(202077,203095);(211478,212215);(212344,212872);(212873,213425);(215454,216153);(217030,217669);(220832,221643);(223383,224058);(225857,226447);(226655,227155);(228642,229277);(236153,237444);(238559,239116);(244876,245437);(251061,251666);(252238,252874);(261506,262282);(264571,265454);(268609,269383);(273099,273863);(277457,277973);(289105,289630);(292318,292818);(299678,300178);(300925,301459);(302627,303422);(305446,305946);(308268,309207);(316365,316882);(317548,318061);(324206,324798);(326922,327765);(334324,334876);(345091,345617);(352242,352986);(353116,353676);(357552,358231);(359195,360058);(361004,362009);(362299,363210);(363346,363943);(366271,367059);(371127,371837);(375191,375876);(384174,385140);(391998,392498);(393102,393621);(393709,394256);(397332,397903);(406127,406627);(407252,407976);(411924,412664);(414898,415495);(418498,419030);(419031,419824);(419825,420504);(422340,423179);(427229,427885);(430374,431192);(432228,432768);(439998,440661);(450426,451194);(454299,454799);(455019,455600);(459283,460210);(467169,468035);(473617,474117);(476298,476910);(485253,486006);(489268,489905);(492054,492560);(494247,495299);(495998,496529);(496812,497493);(497698,498637);(503864,504899);(505023,505612);(505613,506311);(507571,508414);(512950,513484);(515380,516314);(530427,531011);(537643,538194);(541332,541985);(542402,543031);(548184,548824);(551596,552101);(555878,556378);(557300,557800);(563027,563527);(566995,567656);(572394,573179);(573981,574503);(579485,580364);(585652,586204);(588181,588756);(589412,589979);(605215,605734);(605735,606549);(608626,609314);(609506,610057);(618321,619032);(619456,619964);(622828,623394);(630596,631188);(640043,640855);(640856,641610);(641788,642453);(645661,646403);(654100,655336);(657160,657784);(668140,669605);(670561,671297);(673847,674828);(684924,685512);(686981,687827);(687828,688979);(689739,690362);(692250,692842);(693037,694527);(696021,696546);(708287,709250);(714361,715050);(716028,716826);(722321,722881);(723036,723712);(725973,726679);(730105,730649);(734806,735343);(743703,744445);(764180,764957);(766571,767139);(769036,769594);(770625,771530);(785666,786590);(786717,787217);(787904,788412);(791573,792096);(794770,795684);(798802,799302);(820978,821914);(823615,824154);(828729,829230);(829321,829841);(830483,831183);(833353,834163);(834781,835675);(835676,836215);(846544,847092);(861303,862249);(872250,872993);(873080,873660);(874076,874867);(876439,877021);(877022,877571);(879029,879621);(881417,882315);(889579,890290);(908868,909726);(909727,910572);(913027,913527);(914956,916319);(919055,919590);(920591,921160);(926025,926568);(930772,931295);(935973,936519);(944160,944763);(952670,953245);(954899,955434);(956801,957636);(961373,961907);(968522,969026);(980936,981549);(984862,985380)"
"[{1, 6, 69}]","[]",3,8,"(71840,72371);(90454,90982);(553030,553606);(697928,698514);(703305,703843);(739513,740013);(947838,948404);(954025,954526)"
"[{1, 6, 77}]","[]",3,165,"(13802,14346);(16579,17079);(18765,19516);(20041,20769);(28581,29118);(30389,31443);(36773,37324);(39794,40461);(40771,41452);(43075,44188);(61345,62590);(66928,67843);(68353,68869);(70000,70629);(71565,72258);(73660,74524);(74525,75450);(75838,76749);(76750,77921);(78484,79212);(80712,81233);(83632,84614);(97432,98229);(105728,106482);(112724,113689);(116257,116936);(117306,117837);(118831,119362);(122376,122934);(125589,126529);(126530,127386);(142141,142731);(142977,143994);(145725,146225);(169594,170135);(177572,178202);(180234,180832);(181206,181729);(189692,190262);(191257,191841);(197489,198276);(204727,205231);(208928,209624);(219534,220044);(225175,225952);(239091,239593);(253964,255037);(255617,257496);(257497,258090);(260268,260780);(261738,262252);(264934,265439);(270064,270934);(272977,273759);(276924,277424);(279770,280276);(286117,286617);(290566,291422);(293470,293977);(300584,301084);(302872,303373);(311989,312499);(315511,316011);(318709,319295);(330739,331418);(346955,347532);(347673,348239);(349538,350145);(359395,359949);(361329,362146);(370994,371900);(374193,375510);(388296,388979);(399593,400171);(401283,401990);(403907,404712);(404922,405443);(407308,408033);(408368,408957);(410342,411110);(417913,418944);(421831,422371);(422876,423652);(427429,427929);(428246,428988);(436783,437287);(439967,440467);(445322,446035);(454629,455285);(459065,459897);(461518,462036);(465019,465767);(466983,467483);(495774,496335);(496336,497359);(512852,514183);(519972,520532);(522605,523199);(550264,551353);(569442,569974);(578891,579499);(583189,583772);(589576,590097);(598723,599255);(605301,605803);(606917,607519);(609523,610057);(614640,615164);(618355,618911);(622067,622618);(628765,629752);(630008,630644);(645488,646140);(660245,660745);(667115,668033);(674844,675459);(677575,678075);(681011,681511);(683426,684089);(693200,694118);(697907,698697);(708932,709503);(711358,712205);(712990,713719);(724252,725396);(732406,733014);(734457,735068);(735347,735862);(739788,740308);(741130,742217);(750758,751490);(758899,759459);(765020,765520);(779648,780167);(782607,783121);(790782,791517);(792402,792905);(794704,795218);(795453,796137);(805119,805995);(805996,806630);(859193,860030);(872123,873032);(873148,873762);(873980,874489);(874777,875347);(884419,884924);(886787,887314);(907527,908375);(911609,912138);(913894,914407);(914408,915013);(915014,915631);(915813,916635);(924978,925842);(930044,930814);(941826,942356);(952484,953262);(953973,954759);(963522,964343);(964344,964844);(968722,969400);(970494,971062);(975847,976573);(980069,980713)"
"[{1, 6, 83}]","[]",3,43,"(30625,31448);(36191,36699);(54946,55477);(75932,76779);(106773,107280);(116921,117488);(166455,167047);(171343,171986);(197489,198094);(220891,221713);(225153,225868);(238178,238678);(261737,262386);(284466,285039);(298846,299606);(300128,300679);(302971,303493);(310437,311063);(331344,332136);(335345,336081);(336680,337180);(401132,401758);(410905,411575);(485294,485831);(585461,586576);(588011,588667);(617813,618574);(678712,679276);(695663,696238);(734539,735068);(735934,736526);(748299,748805);(757982,758514);(761446,762094);(799618,800734);(812052,812552);(813275,813925);(843798,844659);(865732,866232);(876265,876840);(891352,892035);(901130,902051);(968384,968928)"
"[{1, 6, 90}]","[]",3,64,"(20139,20682);(32571,33269);(53392,53953);(56997,57599);(77125,77670);(80433,81237);(116279,116991);(126508,127129);(172920,173498);(234464,235018);(237526,238208);(300120,300776);(303728,304293);(304294,305024);(315183,315700);(333847,334352);(349506,350105);(355369,355920);(360290,360795);(374384,374915);(376618,377118);(388974,389497);(401180,401691);(418482,419030);(428420,429155);(465467,466015);(504010,504511);(516628,517128);(537340,537874);(556635,557141);(562648,563481);(588126,588666);(588667,589284);(589285,589897);(593496,593996);(619777,620566);(623196,623715);(640112,640612);(641052,641587);(659321,660180);(695735,696238);(720688,721476);(734334,734906);(740516,741052);(757668,758219);(758220,758814);(759009,759576);(846164,846925);(868783,869529);(872437,872953);(893027,893527);(897374,898196);(906191,906707);(906010,906607);(907582,908402);(913723,914223);(927617,928305);(933308,933845);(935501,936491);(947761,948267);(954006,954848);(965289,966061);(969701,970265);(974450,974976)"
"[{1, 6, 135}]","[]",3,14,"(56768,57268);(69926,70615);(78484,79041);(124962,125462);(224026,224526);(287714,288214);(303493,304379);(312831,313468);(395503,396004);(414412,414913);(497706,498264);(802520,803030);(907803,908326);(915315,916010)"
"[{1, 6, 136}]","[]",3,20,"(36459,37287);(190154,190654);(199881,200400);(212608,213174);(287577,288080);(303152,303728);(307803,308373);(311753,312259);(348354,349115);(363004,363612);(390996,391514);(410342,410905);(415740,416327);(558435,559003);(659775,660501);(661217,661904);(679537,680321);(728185,728733);(741192,741993);(807556,808081)"
"[{1, 6, 138}]","[]",3,71,"(5368,5883);(8305,8949);(31448,31948);(43218,43826);(46708,47357);(77160,77921);(88229,88977);(125972,126606);(140354,141086);(142989,143506);(156700,157255);(163550,164050);(167095,167667);(174345,174944);(197607,198245);(215024,215649);(222279,222823);(232594,233095);(236663,237319);(251264,252048);(255921,256726);(266033,266549);(271190,271799);(288915,289607);(297799,298471);(312176,312913);(320259,320761);(328683,329533);(333844,334397);(362946,363576);(370734,371365);(371366,372181);(381333,381962);(411164,412014);(450393,450893);(457929,458599);(475716,476239);(506311,507092);(515706,516415);(525261,525825);(556930,557496);(558396,559246);(569198,569942);(582513,583346);(604526,605027);(608521,609131);(617874,618709);(635676,636461);(636696,637421);(644273,644810);(658028,658590);(666526,667069);(671966,672504);(673700,674270);(678446,679098);(685190,685834);(739180,739722);(742486,743086);(745840,746442);(805345,805892);(807550,808477);(835554,836298);(855588,856100);(868135,868834);(901813,902313);(920156,920717);(921645,922333);(927663,928172);(969533,970037);(980905,981648);(984481,985144)"
"[{1, 6, 148}]","[]",3,530,"(34,1854);(1855,3749);(3750,5099);(5100,8074);(8075,9941);(9942,11599);(11600,12239);(12240,16048);(16049,16892);(16893,17607);(17608,18549);(18550,21678);(21679,22287);(22288,23161);(23162,23921);(23922,27012);(27013,30314);(30315,31713);(31714,32448);(32449,33637);(33638,37836);(37837,39279);(39799,42636);(42637,44462);(45151,50064);(50065,52014);(52015,53326);(53327,54949);(54950,55514);(55515,56313);(56924,59321);(59411,63369);(63697,65047);(65048,65885);(65886,67721);(67722,68290);(68291,70918);(71255,73779);(74026,75610);(75874,78671);(78672,81891);(81892,82902);(82903,83788);(83789,85205);(85206,86701);(86702,88060);(88061,91309);(91310,92951);(92952,94681);(94682,95665);(95666,96690);(96691,98247);(98465,99571);(99572,100215);(100216,102527);(102528,103735);(103736,107740);(107741,109278);(109463,110696);(110697,112558);(113237,114229);(114415,118477);(118730,119784);(119785,120608);(120609,121262);(121417,121995);(122570,123307);(123308,124241);(124242,128058);(128059,129052);(129053,129722);(129827,131348);(131349,134582);(134583,136334);(136335,138052);(138053,139482);(139623,140494);(140495,141316);(141317,142131);(142132,145187);(145188,147561);(147562,148179);(148180,148881);(148882,149405);(150013,150811);(150812,152118);(152119,152674);(152675,153702);(153703,156445);(156446,157989);(158139,160174);(160175,161936);(162210,164324);(164325,165906);(165907,166833);(166834,168041);(168042,171426);(171510,172857);(172858,174289);(174290,175373);(176433,178448);(178449,179044);(179045,182671);(182672,184204);(184361,184897);(184898,188060);(188061,188951);(188952,191555);(191556,192628);(192629,193672);(194470,195122);(195123,196477);(196478,198816);(198817,199881);(200021,201123);(201124,202004);(202005,206047);(206928,208396);(208928,210230);(210231,217505);(217638,223273);(223783,225422);(225423,228090);(228842,231704);(231919,234352);(234353,235539);(235540,236072);(236536,238059);(238233,239258);(239259,240836);(240837,241805);(242641,243142);(243663,244961);(244962,246100);(246101,246965);(247210,249070);(249071,253539);(253540,255584);(255792,257036);(257037,260171);(260172,260768);(261213,263468);(263469,264665);(265895,267923);(268084,269150);(269151,269803);(269804,272491);(273175,274008);(274664,276146);(276695,281004);(281005,282663);(283253,284839);(286677,288210);(288211,290244);(290245,291063);(291737,292318);(292319,293270);(293271,296123);(296124,297891);(297892,298585);(298586,299714);(299715,301374);(301490,302627);(302628,304498);(304499,307803);(307804,308567);(308568,309322);(309323,315357);(315358,317902);(318204,320020);(320021,323703);(323914,325226);(325227,326413);(326414,329298);(329299,329943);(329944,334872);(334951,336884);(336975,338441);(338442,339500);(339644,340219);(341033,342901);(342975,343520);(343521,344289);(344290,345017);(345018,345726);(345727,346459);(346931,348052);(348273,350606);(351291,357079);(357080,358527);(358528,359667);(359668,360324);(360325,361034);(361035,363958);(363959,364517);(364518,365352);(365353,367537);(367941,368787);(368788,369988);(369989,372582);(372583,374302);(374303,374915);(374916,377349);(377350,378000);(379354,380729);(380917,382382);(382383,385817);(385977,387163);(387164,390868);(390869,392380);(392381,393260);(393261,393980);(393981,395026);(395027,396488);(396571,398114);(399387,401286);(401287,402181);(402182,402732);(402733,403269);(403270,405408);(405409,411904);(411905,413121);(413679,414256);(414386,417811);(417913,423040);(423041,424004);(424180,424901);(425181,426891);(426892,434309);(434310,435137);(435792,438907);(438908,441791);(441792,447549);(447759,448444);(448940,449445);(450334,451310);(451311,453304);(454014,455946);(456131,460261);(460262,463122);(463259,465329);(465330,466421);(466697,468578);(468895,470279);(470510,473518);(473659,474561);(474960,475806);(475807,478627);(479199,480395);(480396,481202);(481203,482497);(482498,483238);(483239,485109);(485110,486385);(486386,487329);(487424,488829);(488830,490047);(490164,493086);(493087,497787);(497788,499582);(499583,503484);(503485,504364);(504365,504997);(504998,509035);(509036,510037);(510038,511469);(511470,512098);(512662,516229);(516397,517528);(517529,518502);(519087,519774);(519775,521284);(521491,522008);(522009,523623);(523624,524444);(524573,528045);(528046,530062);(530063,531345);(531346,532125);(532126,533931);(534200,536040);(536041,537125);(537126,540253);(540254,544240);(544898,545831);(545832,548412);(548508,549078);(549079,551437);(551438,552970);(552971,553819);(553820,555770);(555771,556635);(556754,558694);(558695,561121);(561122,561919);(561920,564621);(564622,565645);(565875,568005);(568006,570326);(570896,571623);(571624,573094);(573095,574176);(574177,576826);(576827,580979);(581227,582417);(582418,583846);(583847,584687);(584688,592319);(592586,593093);(593740,595483);(595607,596680);(597501,598332);(598333,599423);(599711,600928);(600929,601762);(601763,602557);(602558,603367);(603368,603956);(603957,605132);(605345,606845);(606846,608669);(608670,612549);(612888,613388);(613389,615024);(615229,616731);(616885,620134);(621265,622618);(622619,623885);(624437,625212);(625418,625979);(625980,626714);(626715,627493);(628062,628664);(628760,629769);(629770,630625);(630626,631346);(631347,632572);(632573,633180);(633181,634203);(634204,635178);(635179,637908);(637909,639710);(639826,640902);(640903,642366);(642367,645453);(645454,646439);(646611,651924);(651925,653427);(653957,655969);(655970,657160);(657516,658960);(659561,661256);(661305,662161);(662162,663629);(663630,665157);(665158,669016);(669017,672045);(672046,672742);(672743,676780);(676781,678182);(678183,679591);(679592,680682);(680683,681183);(681184,684325);(684761,686913);(686914,688665);(689312,690338);(692162,693200);(693201,694527);(695915,699310);(699311,699852);(699853,700951);(700952,703408);(703409,704222);(704223,704820);(704821,706230);(706309,706895);(707051,710786);(710787,711776);(711777,713865);(713866,715156);(715157,715752);(715973,719092);(719995,720560);(720561,721243);(721244,723173);(723174,727320);(727873,728373);(728374,728960);(728961,731029);(731030,731939);(731940,733202);(733825,734396);(734397,735432);(735433,736233);(736234,736958);(736959,737968);(737969,738852);(738965,739516);(739517,740373);(740374,743944);(743945,747417);(747418,748086);(748435,749720);(749721,750399);(750400,752418);(753185,754935);(754936,756071);(756072,756883);(756992,760512);(760513,761643);(761644,763616);(763617,766009);(766010,766583);(766584,768825);(768826,771211);(771212,774148);(774149,775311);(775987,777209);(777210,778926);(778927,779705);(779988,780488);(780489,783482);(783483,784134);(784310,784837);(784838,785820);(785821,788539);(789210,792360);(792361,793397);(793398,794561);(794562,796833);(796834,798046);(798047,799118);(799119,800122);(800123,802807);(802808,807274);(807432,809964);(809965,811115);(811116,812099);(812100,812778);(813382,813924);(814128,814653);(814654,817801);(817802,819014);(819015,821682);(821683,823008);(823638,825943);(825944,828392);(828995,829669);(829670,831848);(832468,833299);(833300,834330);(834331,836757);(837320,838360);(838565,840822);(840823,842926);(842927,844228);(844229,847886);(848543,850410);(850411,855443);(855444,856470);(857057,858815);(859106,861373);(861374,862645);(862646,863981);(863982,865346);(865522,867018);(867019,868012);(868224,871269);(871270,872268);(872269,874601);(874602,877034);(877035,878927);(879050,880380);(880381,881096);(881097,883573);(884541,885633);(886357,888257);(888258,888817);(889056,890794);(890795,894190);(894215,896190);(896191,898790);(898791,900441);(901185,902449);(902450,903099);(903100,905104);(905216,906852);(907435,908402);(908517,909887);(909888,910710);(910781,913772);(913773,918876);(918877,919931);(919932,921177);(921178,922513);(922514,923538);(923812,924367);(924464,929018);(929019,937129);(937444,938927);(938928,941798);(941799,942531);(942636,943350);(943351,944505);(944506,945545);(945546,947092);(947340,947840);(947841,948546);(948547,950398);(950399,953707);(953708,956846);(956847,957726);(957727,958655);(959174,960258);(960259,960975);(960976,962403);(962404,963113);(963425,964167);(965145,970861);(970862,971731);(972353,973057);(973551,975702);(976298,976953);(977625,979729);(979730,981386);(982173,983021);(983022,986409);(986590,987465);(987466,989908)"
"[{1, 6, 155}]","[]",3,3,"(659638,660138);(751013,751513);(947723,948267)"
"[{1, 6, 205}]","[]",3,1,"(640738,641259)"
"[{1, 6, 215}]","[]",3,3,"(43161,43693);(330247,330747);(792292,792926)"
"[{1, 6, 218}]","[]",3,375,"(540,1854);(1855,3910);(3911,5477);(5478,8074);(8075,9941);(9942,11027);(11028,16048);(16049,17607);(17608,22287);(22288,24009);(24010,25558);(25559,30314);(30315,32563);(32564,33712);(33713,37836);(37837,39279);(39362,39863);(39864,42636);(42637,44516);(44662,50064);(50065,54949);(54950,55711);(55712,56622);(56924,57728);(57729,59555);(59556,63461);(63697,65060);(65061,65885);(65886,66962);(66963,67721);(67722,70918);(70919,75638);(75639,78577);(78578,81884);(81885,85188);(85189,86658);(86659,88177);(88178,91424);(91526,93048);(93049,96798);(96799,98621);(98622,99571);(99572,102645);(102646,103760);(103761,109278);(109279,112921);(112922,115929);(115930,118477);(118478,120608);(120760,121286);(121417,121995);(122570,124035);(124036,128058);(128059,129122);(129123,129722);(129827,134438);(134439,136456);(136457,138075);(138076,139757);(139758,141275);(141276,142025);(142026,143923);(143924,145287);(145390,146358);(146359,147419);(147420,149405);(149406,150811);(150812,152339);(152340,154867);(154868,156732);(156733,158301);(158302,159908);(159909,162223);(162224,165854);(166095,166612);(166613,168041);(168042,171531);(171532,175547);(175910,182592);(182593,184204);(184205,184897);(184898,191836);(191951,193898);(193899,195122);(195123,198162);(198163,198816);(198817,199906);(199907,202195);(202196,202730);(202731,206188);(206694,209014);(209015,217141);(217142,217824);(217825,223273);(223402,225262);(225263,228400);(228560,231704);(231820,233038);(233039,233690);(233691,236072);(236073,239337);(239338,240898);(240899,242056);(242726,243501);(243639,246965);(247210,252324);(252325,255814);(255815,260768);(261020,263468);(263469,264665);(264842,272977);(272978,274358);(274359,276270);(276406,278054);(278055,280276);(280277,283252);(283253,284169);(284170,285489);(285490,285999);(286677,290531);(290532,293165);(293166,296123);(296292,297748);(297749,302899);(302900,304531);(304532,308666);(308667,315438);(315439,317922);(318204,323703);(323704,325332);(325333,326611);(326612,334997);(334998,339796);(341033,342901);(342975,344039);(344289,344834);(345017,346075);(346076,346634);(346635,348191);(348192,350918);(350919,358724);(358725,359683);(359684,364419);(364420,365352);(365353,367537);(367785,368787);(368788,372731);(372732,378000);(378148,379210);(379211,388500);(388501,391078);(391079,393925);(393926,395026);(395027,396410);(396411,398389);(398390,399386);(399387,400874);(400875,402116);(402117,402855);(403482,405408);(405409,411935);(411936,413373);(413374,418038);(418039,424180);(424181,424901);(425388,435940);(435941,438867);(438998,441882);(441883,447784);(447785,448853);(448854,449868);(449952,453388);(453389,454171);(454172,456131);(456682,460261);(460262,463054);(463055,465467);(465468,466702);(466703,468583);(468895,470404);(470405,472718);(472719,473639);(473640,474778);(474960,475806);(475807,477522);(477523,478894);(478895,480669);(480670,485172);(485173,499582);(499583,501160);(501161,505146);(505147,510037);(510038,512098);(512099,516397);(516398,518502);(518754,519774);(519775,523785);(523786,524775);(524776,533931);(534200,535904);(535905,537125);(537126,540495);(540496,544461);(544462,546132);(546133,548772);(548773,551481);(551482,552743);(552744,556754);(556755,558418);(558419,562175);(562176,565645);(565646,567968);(567969,570577);(570578,571518);(571519,572706);(573095,576974);(577197,580979);(581222,583391);(583495,584687);(584688,592475);(593248,595808);(595809,597406);(597407,597923);(597924,599860);(599861,605132);(605133,606861);(606862,607780);(607781,608692);(608693,612765);(612900,613409);(613410,615015);(615229,617089);(617090,620278);(620279,620793);(620910,622618);(622619,623885);(623886,625018);(625556,627493);(627975,628662);(628760,629769);(629770,631346);(631347,632572);(632573,635178);(635179,636786);(636787,642366);(642367,643332);(643333,646764);(646765,648310);(648311,651694);(651876,653427);(653569,657160);(657516,659205);(659206,661305);(661306,672070);(672071,672742);(672743,674753);(674754,678388);(678389,680206);(680207,681046);(681047,681937);(681938,684988);(684989,689083);(689084,690800);(690801,691301);(691826,695529);(695530,704974);(704975,706895);(706896,710725);(710726,715598);(715599,716138);(716139,719167);(719341,721243);(721244,723173);(723174,727929);(727930,728884);(728960,733487);(734170,735432);(735433,738137);(738138,738852);(738965,740373);(740374,750398);(750399,752418);(752419,753185);(753186,755073);(755074,757151);(757152,761670);(761671,763616);(763617,766534);(766535,768129);(768130,768825);(768826,770300);(770301,774148);(774149,776246);(776247,777323);(777324,780039);(780040,780765);(780766,784170);(784618,785820);(785821,788322);(788812,792518);(792519,793544);(793545,794561);(794562,796954);(796955,798337);(798338,802807);(802808,807432);(807433,813049);(813050,814031);(814032,817854);(817855,821381);(821382,823008);(823189,823803);(823804,826215);(826216,827148);(827149,828777);(828778,832604);(832605,833357);(833358,837258);(837259,840822);(840823,843036);(843037,847927);(848548,850560);(850561,851865);(851866,855794);(855795,856470);(856631,859106);(859107,861513);(861514,862243);(862244,863919);(863920,865662);(865663,867018);(867019,867631);(867632,868234);(868235,872371);(872372,881183);(881184,883445);(884541,885445);(885977,888413);(888414,889002);(889003,894264);(894265,896190);(896191,902633);(903100,906084);(906085,906974);(906975,909921);(909922,913772);(913773,918876);(918877,919987);(919988,922749);(922750,923538);(923812,924472);(924473,929353);(929354,930829);(930830,937126);(937454,938927);(938928,940242);(940243,950662);(950663,953707);(953708,957654);(957655,958655);(958931,960975);(960976,962245);(962246,963255);(963425,964492);(964493,965257);(965258,971731);(971732,972246);(972247,973095);(973219,975603);(976169,977138);(977139,981748);(981749,982974);(983014,986710);(986711,987465);(987466,989908)"
"[{1, 6, 237}]","[]",3,1,"(526635,527151)"
"[{1, 6, 254}]","[]",3,1,"(940965,941465)"
"[{1, 6, 269}]","[]",3,2,"(97137,97809);(189328,189841)"
"[{1, 6, 273}]","[]",3,4,"(585451,585953);(673865,674365);(750778,751316);(877011,877514)"
"[{1, 6, 303}]","[]",3,14,"(27585,28315);(31633,32137);(82878,83400);(156810,157310);(293691,294363);(296723,297233);(401018,401939);(418782,419311);(556518,557019);(631497,631998);(654408,655016);(676885,677385);(708466,709214);(872953,873489)"
"[{1, 6, 316}]","[]",3,12,"(40129,40869);(41043,41748);(41848,42411);(53176,53845);(138423,138952);(169506,170087);(254548,255197);(422153,422653);(458891,459963);(494694,495194);(632901,633401);(678505,679005)"
"[{1, 6, 364}]","[]",3,1,"(375702,376250)"
"[{1, 6, 438}]","[]",3,11,"(122375,123042);(132982,133665);(241257,241757);(247859,248373);(303493,303993);(631722,632437);(659638,660161);(709027,709650);(772366,772983);(915624,916124);(954359,954892)"
"[{1, 6, 446}]","[]",3,3,"(219297,219798);(560856,561400);(748961,749461)"
"[{1, 6, 504}]","[]",3,2,"(330747,331271);(506002,506639)"
"[{1, 6, 512}]","[]",3,1,"(357711,358214)"
"[{1, 6, 987}]","[]",3,5,"(427376,428060);(585757,586272);(908971,909578);(908879,909441);(946383,946884)"
"[{1, 6, 1644}]","[]",3,1,"(927632,928132)"
